MAL_ID,Name,Score,Genres,Type,Episodes,Aired
1,Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,"Apr 3, 1998"
5,Cowboy Bebop: Tengoku no Tobira,8.39,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,"Sep 1, 2001"
6,Trigun,8.24,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",TV,26,"Apr 1, 1998"
7,Witch Hunter Robin,7.27,"Action, Mystery, Police, Supernatural, Drama, Magic",TV,26,"Jul 2, 2002"
8,Bouken Ou Beet,6.98,"Adventure, Fantasy, Shounen, Supernatural",TV,52,"Sep 30, 2004"
15,Eyeshield 21,7.95,"Action, Sports, Comedy, Shounen",TV,145,"Apr 6, 2005"
16,Hachimitsu to Clover,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",TV,24,"Apr 15, 2005"
17,Hungry Heart: Wild Striker,7.59,"Slice of Life, Comedy, Sports, Shounen",TV,52,"Sep 11, 2002"
18,Initial D Fourth Stage,8.15,"Action, Cars, Sports, Drama, Seinen",TV,24,"Apr 17, 2004"
19,Monster,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,"Apr 7, 2004"
20,Naruto,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",TV,220,"Oct 3, 2002"
22,Tennis no Ouji-sama,7.9,"Action, Comedy, Sports, School, Shounen",TV,178,"Oct 10, 2001"
23,Ring ni Kakero 1,6.38,"Action, Shounen, Sports",TV,12,"Oct 6, 2004"
24,School Rumble,7.94,"Comedy, Romance, School, Shounen",TV,26,"Oct 5, 2004"
25,Sunabouzu,7.42,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",TV,24,"Oct 6, 2004"
26,Texhnolyze,7.76,"Action, Sci-Fi, Psychological, Drama",TV,22,"Apr 17, 2003"
27,Trinity Blood,7.32,"Action, Supernatural, Vampire",TV,24,"Apr 29, 2005"
28,Yakitate!! Japan,7.95,"Comedy, Shounen",TV,69,"Oct 12, 2004"
29,Zipang,7.51,"Action, Military, Sci-Fi, Historical, Drama, Seinen",TV,26,"Oct 8, 2004"
30,Neon Genesis Evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",TV,26,"Oct 4, 1995"
31,Neon Genesis Evangelion: Death & Rebirth,7.45,"Drama, Mecha, Psychological, Sci-Fi",Movie,1,"Mar 15, 1997"
32,Neon Genesis Evangelion: The End of Evangelion,8.51,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Movie,1,"Jul 19, 1997"
33,Kenpuu Denki Berserk,8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,"Oct 8, 1997"
43,Koukaku Kidoutai,8.29,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,"Nov 18, 1995"
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",OVA,4,"Feb 20, 1999"
45,Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",TV,94,"Jan 10, 1996"
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,"Samurai, Historical, Drama, Shounen",Movie,1,"Dec 20, 1997"
47,Akira,8.17,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",Movie,1,"Jul 16, 1988"
48,.hack//Sign,6.98,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",TV,26,"Apr 4, 2002"
49,Aa! Megami-sama!,7.32,"Comedy, Magic, Romance, Seinen, Supernatural",OVA,5,"Feb 21, 1993"
50,Aa! Megami-sama! (TV),7.35,"Comedy, Supernatural, Magic, Romance, Seinen",TV,24,"Jan 7, 2005"
51,Tenshi Kinryouku,6.31,"Action, Drama, Romance, Shoujo, Supernatural",OVA,3,"May 25, 2000"
52,Kidou Tenshi Angelic Layer,7.26,"Sci-Fi, Comedy, Sports, Drama, Shounen",TV,26,"Apr 1, 2001"
53,Ai Yori Aoshi,7.14,"Harem, Slice of Life, Comedy, Drama, Romance",TV,24,"Apr 11, 2002"
54,Appleseed (Movie),7.1,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",Movie,1,"Apr 17, 2004"
55,Arc the Lad,6.53,"Action, Adventure, Fantasy, Horror, Sci-Fi",TV,26,"Apr 5, 1999"
56,Avenger,5.91,"Adventure, Fantasy, Sci-Fi, Shounen",TV,13,"Oct 2, 2003"
57,Beck,8.31,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,"Oct 7, 2004"
58,Blue Gender,7.05,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",TV,26,"Oct 8, 1999"
59,Chobits,7.43,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",TV,26,"Apr 3, 2002"
60,Chrno Crusade,7.66,"Action, Demons, Historical, Romance, Shounen, Supernatural",TV,24,"Nov 25, 2003"
61,D.N.Angel,7.2,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",TV,26,"Apr 3, 2003"
62,D.C.: Da Capo,6.77,"Harem, Drama, Magic, Romance",TV,26,"Jul 5, 2003"
63,DearS,6.62,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",TV,12,"Jul 11, 2004"
64,Rozen Maiden,7.44,"Action, Comedy, Drama, Magic, Seinen",TV,12,"Oct 8, 2004"
65,Rozen Maiden: Träumend,7.65,"Action, Comedy, Drama, Magic, Seinen",TV,12,"Oct 21, 2005"
66,Azumanga Daioh,7.98,"Slice of Life, Comedy, School",TV,26,"Apr 9, 2002"
67,Basilisk: Kouga Ninpou Chou,7.58,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",TV,24,"Apr 13, 2005"
68,Black Cat (TV),7.38,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",TV,23,"Oct 7, 2005"
69,Cluster Edge,6.35,"Action, Fantasy, Military, Sci-Fi",TV,25,"Oct 5, 2005"
71,Full Metal Panic!,7.65,"Action, Military, Sci-Fi, Comedy, Mecha",TV,24,"Jan 8, 2002"
72,Full Metal Panic? Fumoffu,8.07,"Action, Comedy, School",TV,12,"Aug 26, 2003"
73,Full Metal Panic! The Second Raid,7.96,"Action, Military, Mecha",TV,13,"Jul 14, 2005"
74,Gakuen Alice,7.65,"Comedy, School, Shoujo, Super Power",TV,26,"Oct 30, 2004"
75,Soukyuu no Fafner: Dead Aggressor,7.3,"Action, Drama, Mecha, Military, Sci-Fi",TV,25,"Jul 5, 2004"
76,Mahou Shoujo Lyrical Nanoha,7.42,"Action, Comedy, Drama, Magic, Super Power",TV,13,"Oct 3, 2004"
77,Mahou Shoujo Lyrical Nanoha A's,7.99,"Action, Comedy, Drama, Magic, Super Power",TV,13,"Oct 2, 2005"
79,Shuffle!,7.09,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",TV,24,"Jul 8, 2005"
80,Mobile Suit Gundam,7.78,"Action, Military, Sci-Fi, Space, Mecha",TV,43,"Apr 7, 1979"
81,Mobile Suit Gundam: The 08th MS Team,8.03,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",OVA,12,"Jan 25, 1996"
82,Mobile Suit Gundam 0080: War in the Pocket,7.9,"Military, Sci-Fi, Space, Drama, Mecha",OVA,6,"Mar 25, 1989"
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.79,"Military, Sci-Fi, Drama, Romance, Mecha",Movie,1,"Aug 1, 1998"
84,Mobile Suit Gundam 0083: Stardust Memory,7.3,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",OVA,13,"May 23, 1991"
85,Mobile Suit Zeta Gundam,7.92,"Military, Sci-Fi, Space, Drama, Romance, Mecha",TV,50,"Mar 2, 1985"
86,Mobile Suit Gundam ZZ,6.66,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",TV,47,"Mar 1, 1986"
87,Mobile Suit Gundam: Char's Counterattack,7.68,"Military, Sci-Fi, Space, Drama, Mecha",Movie,1,"Mar 12, 1988"
88,Mobile Suit Gundam F91,6.67,"Drama, Mecha, Military, Sci-Fi, Space",Movie,1,"Mar 16, 1991"
89,Mobile Suit Victory Gundam,6.76,"Drama, Mecha, Military, Sci-Fi, Space",TV,51,"Apr 2, 1993"
90,Mobile Suit Gundam Wing,7.72,"Action, Military, Sci-Fi, Space, Drama, Mecha",TV,49,"Apr 7, 1995"
