MAL_ID,Name,Score,Genres,Type,Episodes,Aired
1,Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,1998-04-03
2,Cowboy Bebop: Tengoku no Tobira,8.39,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,2001-09-01
3,Trigun,8.24,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",TV,26,1998-04-01
4,Witch Hunter Robin,7.27,"Action, Mystery, Police, Supernatural, Drama, Magic",TV,26,2002-07-02
5,Bouken Ou Beet,6.98,"Adventure, Fantasy, Shounen, Supernatural",TV,52,2004-09-30
6,Eyeshield 21,7.95,"Action, Sports, Comedy, Shounen",TV,145,2005-04-06
7,Hachimitsu to Clover,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",TV,24,2005-04-15
8,Hungry Heart: Wild Striker,7.59,"Slice of Life, Comedy, Sports, Shounen",TV,52,2002-09-11
9,Initial D Fourth Stage,8.15,"Action, Cars, Sports, Drama, Seinen",TV,24,2004-04-17
10,Monster,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,2004-04-07
11,Naruto,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",TV,220,2002-10-03
12,Tennis no Ouji-sama,7.9,"Action, Comedy, Sports, School, Shounen",TV,178,2001-10-10
13,Ring ni Kakero 1,6.38,"Action, Shounen, Sports",TV,12,2004-10-06
14,School Rumble,7.94,"Comedy, Romance, School, Shounen",TV,26,2004-10-05
15,Sunabouzu,7.42,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",TV,24,2004-10-06
16,Texhnolyze,7.76,"Action, Sci-Fi, Psychological, Drama",TV,22,2003-04-17
17,Trinity Blood,7.32,"Action, Supernatural, Vampire",TV,24,2005-04-29
18,Yakitate!! Japan,7.95,"Comedy, Shounen",TV,69,2004-10-12
19,Zipang,7.51,"Action, Military, Sci-Fi, Historical, Drama, Seinen",TV,26,2004-10-08
20,Neon Genesis Evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",TV,26,1995-10-04
21,Neon Genesis Evangelion: Death & Rebirth,7.45,"Drama, Mecha, Psychological, Sci-Fi",Movie,1,1997-03-15
22,Neon Genesis Evangelion: The End of Evangelion,8.51,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Movie,1,1997-07-19
23,Kenpuu Denki Berserk,8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,1997-10-08
24,Koukaku Kidoutai,8.29,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,1995-11-18
25,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",OVA,4,1999-02-20
26,Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",TV,94,1996-01-10
27,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,"Samurai, Historical, Drama, Shounen",Movie,1,1997-12-20
28,Akira,8.17,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",Movie,1,1988-07-16
29,.hack//Sign,6.98,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",TV,26,2002-04-04
30,Aa! Megami-sama!,7.32,"Comedy, Magic, Romance, Seinen, Supernatural",OVA,5,1993-02-21
31,Aa! Megami-sama! (TV),7.35,"Comedy, Supernatural, Magic, Romance, Seinen",TV,24,2005-01-07
32,Tenshi Kinryouku,6.31,"Action, Drama, Romance, Shoujo, Supernatural",OVA,3,2000-05-25
33,Kidou Tenshi Angelic Layer,7.26,"Sci-Fi, Comedy, Sports, Drama, Shounen",TV,26,2001-04-01
34,Ai Yori Aoshi,7.14,"Harem, Slice of Life, Comedy, Drama, Romance",TV,24,2002-04-11
35,Appleseed (Movie),7.1,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",Movie,1,2004-04-17
36,Arc the Lad,6.53,"Action, Adventure, Fantasy, Horror, Sci-Fi",TV,26,1999-04-05
37,Avenger,5.91,"Adventure, Fantasy, Sci-Fi, Shounen",TV,13,2003-10-02
38,Beck,8.31,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,2004-10-07
39,Blue Gender,7.05,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",TV,26,1999-10-08
40,Chobits,7.43,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",TV,26,2002-04-03
41,Chrno Crusade,7.66,"Action, Demons, Historical, Romance, Shounen, Supernatural",TV,24,2003-11-25
42,D.N.Angel,7.2,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",TV,26,2003-04-03
43,D.C.: Da Capo,6.77,"Harem, Drama, Magic, Romance",TV,26,2003-07-05
44,DearS,6.62,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",TV,12,2004-07-11
45,Rozen Maiden,7.44,"Action, Comedy, Drama, Magic, Seinen",TV,12,2004-10-08
46,Rozen Maiden: Träumend,7.65,"Action, Comedy, Drama, Magic, Seinen",TV,12,2005-10-21
47,Azumanga Daioh,7.98,"Slice of Life, Comedy, School",TV,26,2002-04-09
48,Basilisk: Kouga Ninpou Chou,7.58,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",TV,24,2005-04-13
49,Black Cat (TV),7.38,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",TV,23,2005-10-07
50,Cluster Edge,6.35,"Action, Fantasy, Military, Sci-Fi",TV,25,2005-10-05
51,Full Metal Panic!,7.65,"Action, Military, Sci-Fi, Comedy, Mecha",TV,24,2002-01-08
52,Full Metal Panic? Fumoffu,8.07,"Action, Comedy, School",TV,12,2003-08-26
53,Full Metal Panic! The Second Raid,7.96,"Action, Military, Mecha",TV,13,2005-07-14
54,Gakuen Alice,7.65,"Comedy, School, Shoujo, Super Power",TV,26,2004-10-30
55,Soukyuu no Fafner: Dead Aggressor,7.3,"Action, Drama, Mecha, Military, Sci-Fi",TV,25,2004-07-05
56,Mahou Shoujo Lyrical Nanoha,7.42,"Action, Comedy, Drama, Magic, Super Power",TV,13,2004-10-03
57,Mahou Shoujo Lyrical Nanoha A's,7.99,"Action, Comedy, Drama, Magic, Super Power",TV,13,2005-10-02
58,Shuffle!,7.09,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",TV,24,2005-07-08
59,Mobile Suit Gundam,7.78,"Action, Military, Sci-Fi, Space, Mecha",TV,43,1979-04-07
60,Mobile Suit Gundam: The 08th MS Team,8.03,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",OVA,12,1996-01-25
61,Mobile Suit Gundam 0080: War in the Pocket,7.9,"Military, Sci-Fi, Space, Drama, Mecha",OVA,6,1989-03-25
62,Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.79,"Military, Sci-Fi, Drama, Romance, Mecha",Movie,1,1998-08-01
63,Mobile Suit Gundam 0083: Stardust Memory,7.3,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",OVA,13,1991-05-23
64,Mobile Suit Zeta Gundam,7.92,"Military, Sci-Fi, Space, Drama, Romance, Mecha",TV,50,1985-03-02
65,Mobile Suit Gundam ZZ,6.66,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",TV,47,1986-03-01
66,Mobile Suit Gundam: Char's Counterattack,7.68,"Military, Sci-Fi, Space, Drama, Mecha",Movie,1,1988-03-12
67,Mobile Suit Gundam F91,6.67,"Drama, Mecha, Military, Sci-Fi, Space",Movie,1,1991-03-16
68,Mobile Suit Victory Gundam,6.76,"Drama, Mecha, Military, Sci-Fi, Space",TV,51,1993-04-02
69,Mobile Suit Gundam Wing,7.72,"Action, Military, Sci-Fi, Space, Drama, Mecha",TV,49,1995-04-07
70,Mobile Suit Gundam Wing: Endless Waltz,7.76,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,3,1997-01-25
71,After War Gundam X,7.32,"Sci-Fi, Adventure, Space, Drama, Mecha",TV,39,1996-04-05
72,Mobile Suit Gundam SEED,7.79,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50,2002-10-05
73,Mobile Suit Gundam SEED Destiny,7.22,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50,2004-10-09
74,Turn A Gundam,7.7,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",TV,50,1999-04-09
75,Mobile Fighter G Gundam,7.56,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",TV,49,1994-04-01
76,Last Exile,7.82,"Action, Sci-Fi, Adventure",TV,26,2003-04-08
77,Mai-HiME,7.46,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",TV,26,2004-09-30
78,Mai-Otome,7.31,"Comedy, Drama, Fantasy, Magic",TV,26,2005-10-07
79,Shin Shirayuki-hime Densetsu Prétear,7.2,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",TV,13,2001-04-04
80,Air,7.32,"Slice of Life, Supernatural, Drama, Romance",TV,12,2005-01-07
